PerfectFlite SLCF
Firmware: 1.0
Software: 1.1
Serial Number: 3971
Apogee: 1883' AGL
Ground Elevation: -344' MSL
NumSamps: 920
Flight Number: 3
Main Setting: 500' AGL
Apogee Delay: 0 Seconds
Drogue At: 10.95 Seconds
Main At: 35.15 Seconds
Max Drogue Current: 3 Amps
Max Main Current: 3 Amps
Comments: 
Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
9.45, 1834, 58, 46.60, 9.40
13.40, 1808, -54, 46.56, 9.20
13.45, 1804, -55, 46.56, 9.20
13.50, 1803, -57, 46.53, 9.20
13.55, 1801, -59, 46.56, 9.20
13.60, 1798, -61, 46.53, 9.20
13.65, 1796, -62, 46.53, 9.30
13.70, 1796, -64, 46.53, 9.30
13.75, 1796, -66, 46.51, 9.30
13.80, 1793, -68, 46.56, 9.30
13.85, 1789, -71, 46.53, 9.30
13.90, 1787, -74, 46.53, 9.30
13.95, 1786, -78, 46.53, 9.30
14.00, 1783, -80, 46.53, 9.30
14.05, 1779, -80, 46.56, 9.30
14.10, 1779, -79, 46.51, 9.30
14.15, 1774, -76, 46.53, 9.30
14.20, 1777, -73, 46.51, 9.30
14.25, 1778, -70, 46.51, 9.30
14.30, 1775, -68, 46.53, 9.30
14.35, 1761, -66, 46.51, 9.30
14.40, 1757, -64, 46.51, 9.30
14.45, 1757, -63, 46.51, 9.30
14.50, 1746, -63, 46.53, 9.30
14.55, 1743, -63, 46.51, 9.30
14.60, 1740, -63, 46.51, 9.30
14.65, 1735, -64, 46.51, 9.30
14.70, 1728, -66, 46.51, 9.30
14.75, 1723, -67, 46.51, 9.30
14.80, 1719, -68, 46.51, 9.30
14.85, 1716, -68, 46.51, 9.30
14.90, 1713, -68, 46.51, 9.30
14.95, 1710, -68, 46.51, 9.30
15.00, 1705, -68, 46.49, 9.30
15.05, 1701, -69, 46.51, 9.30
15.10, 1698, -70, 46.51, 9.30
15.15, 1696, -70, 46.51, 9.30
15.20, 1693, -71, 46.51, 9.30
15.25, 1691, -71, 46.51, 9.30
15.30, 1689, -70, 46.51, 9.30
15.35, 1687, -69, 46.49, 9.30
15.40, 1681, -68, 46.51, 9.30
15.45, 1681, -67, 46.51, 9.30
15.50, 1678, -66, 46.51, 9.30
15.55, 1678, -67, 46.47, 9.30
15.60, 1673, -67, 46.47, 9.30
15.65, 1667, -67, 46.49, 9.30
15.70, 1662, -67, 46.47, 9.30
15.75, 1660, -66, 46.47, 9.30
15.80, 1658, -65, 46.47, 9.30
15.85, 1654, -64, 46.47, 9.30
15.90, 1652, -63, 46.47, 9.30
15.95, 1650, -61, 46.47, 9.30
16.00, 1647, -60, 46.47, 9.30
16.05, 1644, -59, 46.47, 9.30
16.10, 1635, -59, 46.47, 9.30
16.15, 1639, -60, 46.47, 9.30
16.20, 1636, -62, 46.45, 9.30
16.25, 1633, -63, 46.45, 9.30
16.30, 1629, -64, 46.45, 9.30
16.35, 1626, -64, 46.44, 9.30
16.40, 1626, -65, 46.44, 9.30
16.45, 1624, -66, 46.44, 9.30
16.50, 1615, -66, 46.44, 9.30
16.55, 1606, -66, 46.44, 9.30
16.60, 1599, -66, 46.45, 9.30
16.65, 1598, -65, 46.44, 9.30
16.70, 1595, -65, 46.44, 9.30
16.75, 1592, -65, 46.44, 9.30
16.80, 1590, -66, 46.44, 9.30
16.85, 1587, -66, 46.44, 9.30
16.90, 1587, -67, 46.44, 9.30
16.95, 1590, -67, 46.44, 9.30
17.00, 1597, -67, 46.44, 9.30
17.05, 1585, -67, 46.44, 9.30
17.10, 1575, -67, 46.44, 9.30
17.15, 1570, -68, 46.44, 9.30
17.20, 1569, -68, 46.44, 9.30
17.25, 1565, -69, 46.44, 9.30
17.30, 1560, -69, 46.44, 9.30
17.35, 1557, -70, 46.44, 9.30
17.40, 1552, -70, 46.44, 9.30
17.45, 1548, -69, 46.45, 9.30
17.50, 1545, -67, 46.44, 9.30
17.55, 1544, -65, 46.44, 9.30
17.60, 1543, -63, 46.44, 9.30
17.65, 1538, -62, 46.44, 9.30
17.70, 1536, -62, 46.44, 9.30
17.75, 1529, -63, 46.44, 9.30
17.80, 1523, -64, 46.44, 9.30
17.85, 1521, -65, 46.44, 9.30
17.90, 1518, -67, 46.44, 9.30
17.95, 1516, -69, 46.44, 9.30
18.00, 1514, -70, 46.44, 9.30
18.05, 1509, -69, 46.44, 9.30
18.10, 1504, -69, 46.44, 9.30
18.15, 1501, -68, 46.44, 9.30
18.20, 1500, -68, 46.44, 9.30
18.25, 1495, -68, 46.44, 9.30
18.30, 1491, -67, 46.44, 9.30
18.35, 1487, -66, 46.44, 9.30
18.40, 1485, -65, 46.44, 9.30
18.45, 1483, -64, 46.44, 9.30
18.50, 1480, -63, 46.44, 9.30
18.55, 1482, -63, 46.44, 9.30
18.60, 1481, -63, 46.44, 9.40
18.65, 1476, -62, 46.42, 9.30
18.70, 1469, -62, 46.44, 9.30
18.75, 1466, -61, 46.42, 9.30
18.80, 1462, -60, 46.44, 9.40
18.85, 1457, -60, 46.44, 9.30
18.90, 1456, -61, 46.42, 9.40
18.95, 1451, -61, 46.44, 9.30
19.00, 1447, -61, 46.44, 9.40
19.05, 1446, -62, 46.44, 9.30
19.10, 1441, -62, 46.44, 9.30
19.15, 1434, -62, 46.44, 9.40
19.20, 1430, -62, 46.44, 9.40
19.25, 1428, -63, 46.42, 9.40
19.30, 1426, -63, 46.42, 9.40
19.35, 1424, -64, 46.42, 9.40
19.40, 1427, -63, 46.42, 9.40
19.45, 1425, -63, 46.42, 9.40
19.50, 1424, -63, 46.42, 9.40
19.55, 1419, -62, 46.42, 9.40
19.60, 1415, -61, 46.42, 9.40
19.65, 1412, -60, 46.42, 9.40
19.70, 1412, -59, 46.40, 9.40
