PerfectFlite SLCF
Firmware: 1.0
Software: 1.1
Serial Number: 3971
Apogee: 1883' AGL
Ground Elevation: -344' MSL
NumSamps: 920
Flight Number: 3
Main Setting: 500' AGL
Apogee Delay: 0 Seconds
Drogue At: 10.95 Seconds
Main At: 35.15 Seconds
Max Drogue Current: 3 Amps
Max Main Current: 3 Amps
Comments: 
Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
25.20, 1072, -64, 46.31, 9.40
25.25, 1070, -64, 46.29, 9.40
25.30, 1064, -63, 46.29, 9.40
25.35, 1061, -62, 46.29, 9.40
25.40, 1057, -61, 46.29, 9.40
25.45, 1054, -60, 46.29, 9.40
25.50, 1052, -59, 46.27, 9.40
25.55, 1047, -58, 46.27, 9.40
25.60, 1045, -57, 46.27, 9.40
25.65, 1039, -57, 46.27, 9.40
25.70, 1034, -58, 46.27, 9.40
25.75, 1032, -58, 46.27, 9.40
25.80, 1029, -60, 46.26, 9.40
25.85, 1026, -61, 46.27, 9.40
25.90, 1021, -61, 46.27, 9.40
25.95, 1018, -62, 46.27, 9.40
26.00, 1017, -62, 46.27, 9.40
26.05, 1014, -62, 46.27, 9.40
26.10, 1012, -62, 46.27, 9.40
26.15, 1011, -61, 46.27, 9.40
26.20, 1006, -61, 46.27, 9.40
26.25, 1005, -61, 46.27, 9.40
26.30, 1004, -62, 46.27, 9.40
26.35, 1001, -62, 46.27, 9.40
26.40, 1001, -62, 46.26, 9.40
26.45, 999, -62, 46.26, 9.40
26.50, 997, -62, 46.27, 9.40
26.55, 994, -62, 46.27, 9.40
26.60, 989, -61, 46.27, 9.40
26.65, 989, -61, 46.26, 9.40
26.70, 985, -60, 46.24, 9.40
26.75, 981, -60, 46.26, 9.40
26.80, 978, -59, 46.26, 9.40
26.85, 975, -58, 46.27, 9.40
26.90, 972, -56, 46.24, 9.40
26.95, 968, -55, 46.26, 9.40
27.00, 965, -54, 46.27, 9.40
27.05, 961, -55, 46.26, 9.40
27.10, 956, -56, 46.27, 9.40
27.15, 954, -57, 46.24, 9.40
27.20, 949, -59, 46.26, 9.40
27.25, 944, -60, 46.27, 9.40
27.30, 942, -61, 46.26, 9.40
27.35, 936, -62, 46.26, 9.40
27.40, 932, -63, 46.26, 9.40
27.45, 929, -63, 46.24, 9.40
27.50, 926, -64, 46.26, 9.40
27.55, 924, -63, 46.26, 9.40
27.60, 921, -63, 46.24, 9.40
27.65, 919, -62, 46.24, 9.40
27.70, 916, -62, 46.24, 9.40
27.75, 913, -62, 46.24, 9.40
27.80, 911, -62, 46.24, 9.40
27.85, 908, -62, 46.24, 9.40
27.90, 915, -62, 46.24, 9.40
27.95, 919, -61, 46.24, 9.40
28.00, 909, -60, 46.24, 9.40
28.05, 901, -59, 46.24, 9.40
28.10, 897, -58, 46.22, 9.40
28.15, 892, -56, 46.24, 9.40
28.20, 890, -56, 46.24, 9.40
28.25, 886, -56, 46.24, 9.40
28.30, 881, -56, 46.24, 9.40
28.35, 876, -56, 46.22, 9.40
28.40, 876, -56, 46.22, 9.40
28.45, 870, -57, 46.24, 9.40
28.50, 870, -57, 46.22, 9.40
28.55, 868, -57, 46.22, 9.40
28.60, 867, -56, 46.20, 9.40
28.65, 864, -56, 46.20, 9.40
28.70, 861, -55, 46.24, 9.40
28.75, 858, -55, 46.22, 9.40
28.80, 855, -56, 46.20, 9.40
28.85, 849, -57, 46.20, 9.40
28.90, 848, -58, 46.22, 9.40
28.95, 846, -59, 46.22, 9.40
29.00, 844, -59, 46.20, 9.40
29.05, 843, -59, 46.20, 9.40
29.10, 849, -59, 46.20, 9.40
29.15, 844, -59, 46.20, 9.40
29.20, 833, -59, 46.20, 9.40
29.25, 831, -60, 46.20, 9.40
29.30, 830, -60, 46.20, 9.40
29.35, 824, -59, 46.22, 9.40
29.40, 817, -59, 46.20, 9.40
29.45, 813, -59, 46.22, 9.40
29.50, 813, -58, 46.20, 9.40
29.55, 811, -58, 46.22, 9.40
29.60, 809, -58, 46.20, 9.40
29.65, 809, -58, 46.20, 9.40
29.70, 809, -58, 46.20, 9.40
29.75, 804, -57, 46.20, 9.40
29.80, 801, -56, 46.20, 9.40
29.85, 800, -55, 46.20, 9.40
29.90, 797, -55, 46.20, 9.40
29.95, 794, -55, 46.20, 9.40
